JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02,Source_Row,Entry_Key,Debit_Occurrence,Credit_Occurrence,Semantic_Path,Binding_Path
24,1,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,2000,Demo Accounts Payable,146320,00,00,0,V001,Demo Vendor Keystone,D01,Demo Sales,,,0,,,0,,,,,36,"[""20210415"",""900049""]",36-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""36-D"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
24,2,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,2100,Demo Accrued Payables,54120,00,00,0,V003,Demo Vendor Mosaic,D01,Demo Sales,,,0,,,0,,,,,37,"[""20210415"",""900049""]",37-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""37-D"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
24,3,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,,,0,,,0,,,,,1110,Demo North Current Deposit,156340,00,00,0,B002,North Demo Bank,D01,Demo Sales,38,"[""20210415"",""900049""]",,38-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""38-C"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
24,4,2021-04,2021-04-15,900049,Synthetic demo multi-vendor settlement 900049,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,44100,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,39,"[""20210415"",""900049""]",,39-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""39-C"",""d_cor_entryHeader"":""[\""20210415\"",\""900049\""]""}"
25,1,2021-04,2021-04-16,900014,Synthetic demo customer receipt 900014,,,0,,,0,,,,,1200,Demo Accounts Receivable,270050,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,40,"[""20210416"",""900014""]",,40-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""40-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900014\""]""}"
25,2,2021-04,2021-04-16,900014,Synthetic demo customer receipt 900014,1120,Demo Harbor Ordinary Deposit,270050,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,,,0,,,0,,,,,40,"[""20210416"",""900014""]",40-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""40-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900014\""]""}"
26,1,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,1110,Demo North Current Deposit,388000,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,41,"[""20210416"",""900034""]",41-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""41-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
26,2,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,1200,Demo Accounts Receivable,280970,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,42,"[""20210416"",""900034""]",42-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""42-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
26,3,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,,,0,,,0,,,,,4000,Demo Product Sales,247510,B5,B5,22501,C006,Demo Customer Fjord,D01,Demo Sales,43,"[""20210416"",""900034""]",,43-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""43-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
26,4,2021-04,2021-04-16,900034,Synthetic demo mixed sales and receipt 900034,,,0,,,0,,,,,4010,Demo Service Revenue,421460,R5,R5,31219,C007,Demo Customer Grove,D01,Demo Sales,44,"[""20210416"",""900034""]",,44-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""44-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900034\""]""}"
27,1,2021-04,2021-04-16,900046,Synthetic demo combined customer receipt 900046,,,0,,,0,,,,,1200,Demo Accounts Receivable,254860,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,45,"[""20210416"",""900046""]",,45-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""45-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900046\""]""}"
27,2,2021-04,2021-04-16,900046,Synthetic demo combined customer receipt 900046,1110,Demo North Current Deposit,424770,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,45,"[""20210416"",""900046""]",45-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""45-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900046\""]""}"
27,3,2021-04,2021-04-16,900046,Synthetic demo combined customer receipt 900046,,,0,,,0,,,,,1200,Demo Accounts Receivable,33980,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,46,"[""20210416"",""900046""]",,46-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""46-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900046\""]""}"
27,4,2021-04,2021-04-16,900046,Synthetic demo combined customer receipt 900046,,,0,,,0,,,,,1200,Demo Accounts Receivable,135930,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,47,"[""20210416"",""900046""]",,47-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""47-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900046\""]""}"
28,1,2021-04,2021-04-16,900058,Synthetic demo operating cost bundle 900058,,,0,,,0,,,,,1110,Demo North Current Deposit,515790,00,00,0,B002,North Demo Bank,D03,Demo Operations,48,"[""20210416"",""900058""]",,48-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""48-C"",""d_cor_entryHeader"":""[\""20210416\"",\""900058\""]""}"
28,2,2021-04,2021-04-16,900058,Synthetic demo operating cost bundle 900058,6030,Demo Utilities,92840,Q5,Q5,8440,S002,Demo Energy Services,D03,Demo Operations,,,0,,,0,,,,,48,"[""20210416"",""900058""]",48-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""48-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900058\""]""}"
28,3,2021-04,2021-04-16,900058,Synthetic demo operating cost bundle 900058,6040,Demo Communication,154730,Q5,Q5,14066,S003,Demo Network Services,D03,Demo Operations,,,0,,,0,,,,,49,"[""20210416"",""900058""]",49-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""49-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900058\""]""}"
28,4,2021-04,2021-04-16,900058,Synthetic demo operating cost bundle 900058,6060,Demo Office Supplies,268220,Q5,Q5,24384,V009,Demo Vendor Summit,D03,Demo Operations,,,0,,,0,,,,,50,"[""20210416"",""900058""]",50-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""50-D"",""d_cor_entryHeader"":""[\""20210416\"",\""900058\""]""}"
29,1,2021-04,2021-04-17,900007,Synthetic demo vendor settlement 900007,,,0,,,0,,,,,1110,Demo North Current Deposit,106280,00,00,0,B002,North Demo Bank,D04,Demo Logistics,51,"[""20210417"",""900007""]",,51-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""51-C"",""d_cor_entryHeader"":""[\""20210417\"",\""900007\""]""}"
29,2,2021-04,2021-04-17,900007,Synthetic demo vendor settlement 900007,2000,Demo Accounts Payable,106280,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,51,"[""20210417"",""900007""]",51-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""51-D"",""d_cor_entryHeader"":""[\""20210417\"",\""900007\""]""}"
30,1,2021-04,2021-04-17,900051,Synthetic demo credit sale 900051,,,0,,,0,,,,,4000,Demo Product Sales,496230,B5,B5,45112,C004,Demo Customer Dawn,D01,Demo Sales,52,"[""20210417"",""900051""]",,52-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""52-C"",""d_cor_entryHeader"":""[\""20210417\"",\""900051\""]""}"
30,2,2021-04,2021-04-17,900051,Synthetic demo credit sale 900051,1200,Demo Accounts Receivable,496230,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,52,"[""20210417"",""900051""]",52-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""52-D"",""d_cor_entryHeader"":""[\""20210417\"",\""900051\""]""}"
31,1,2021-04,2021-04-18,900008,Synthetic demo operating expense 900008,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,71340,00,00,0,B003,Harbor Demo Bank,D05,Demo Digital Services,53,"[""20210418"",""900008""]",,53-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""53-C"",""d_cor_entryHeader"":""[\""20210418\"",\""900008\""]""}"
31,2,2021-04,2021-04-18,900008,Synthetic demo operating expense 900008,6100,Demo Repairs,71340,Q5,Q5,6485,V001,Demo Vendor Keystone,D05,Demo Digital Services,,,0,,,0,,,,,53,"[""20210418"",""900008""]",53-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""53-D"",""d_cor_entryHeader"":""[\""20210418\"",\""900008\""]""}"
32,1,2021-04,2021-04-18,900023,Synthetic demo customer receipt 900023,,,0,,,0,,,,,1200,Demo Accounts Receivable,323360,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,54,"[""20210418"",""900023""]",,54-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""54-C"",""d_cor_entryHeader"":""[\""20210418\"",\""900023\""]""}"
32,2,2021-04,2021-04-18,900023,Synthetic demo customer receipt 900023,1120,Demo Harbor Ordinary Deposit,323360,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,,,0,,,0,,,,,54,"[""20210418"",""900023""]",54-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""54-D"",""d_cor_entryHeader"":""[\""20210418\"",\""900023\""]""}"
33,1,2021-04,2021-04-19,900030,Synthetic demo monthly payroll bundle 900030,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,660970,00,00,0,B001,Demo Central Bank,D02,Demo Administration,55,"[""20210419"",""900030""]",,55-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""55-C"",""d_cor_entryHeader"":""[\""20210419\"",\""900030\""]""}"
33,2,2021-04,2021-04-19,900030,Synthetic demo monthly payroll bundle 900030,6000,Demo Salaries,277600,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,55,"[""20210419"",""900030""]",55-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""55-D"",""d_cor_entryHeader"":""[\""20210419\"",\""900030\""]""}"
33,3,2021-04,2021-04-19,900030,Synthetic demo monthly payroll bundle 900030,6010,Demo Statutory Welfare,112360,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,56,"[""20210419"",""900030""]",56-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""56-D"",""d_cor_entryHeader"":""[\""20210419\"",\""900030\""]""}"
33,4,2021-04,2021-04-19,900030,Synthetic demo monthly payroll bundle 900030,2110,Demo Payroll Withholding,271010,00,00,0,,,D02,Demo Administration,,,0,,,0,,,,,57,"[""20210419"",""900030""]",57-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""57-D"",""d_cor_entryHeader"":""[\""20210419\"",\""900030\""]""}"
34,1,2021-04,2021-04-19,900032,Synthetic demo credit sale 900032,,,0,,,0,,,,,4020,Demo Other Operating Revenue,104340,B5,B5,9485,C007,Demo Customer Grove,D01,Demo Sales,58,"[""20210419"",""900032""]",,58-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""58-C"",""d_cor_entryHeader"":""[\""20210419\"",\""900032\""]""}"
34,2,2021-04,2021-04-19,900032,Synthetic demo credit sale 900032,1200,Demo Accounts Receivable,104340,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,58,"[""20210419"",""900032""]",58-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""58-D"",""d_cor_entryHeader"":""[\""20210419\"",\""900032\""]""}"
35,1,2021-04,2021-04-19,900036,Synthetic demo purchase on account 900036,,,0,,,0,,,,,2000,Demo Accounts Payable,68760,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,59,"[""20210419"",""900036""]",,59-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""59-C"",""d_cor_entryHeader"":""[\""20210419\"",\""900036\""]""}"
35,2,2021-04,2021-04-19,900036,Synthetic demo purchase on account 900036,5000,Demo Purchases,68760,Q5,Q5,6251,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,59,"[""20210419"",""900036""]",59-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""59-D"",""d_cor_entryHeader"":""[\""20210419\"",\""900036\""]""}"
36,1,2021-04,2021-04-19,900055,Synthetic demo multi-vendor settlement 900055,2000,Demo Accounts Payable,87280,00,00,0,V001,Demo Vendor Keystone,D01,Demo Sales,,,0,,,0,,,,,60,"[""20210419"",""900055""]",60-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""60-D"",""d_cor_entryHeader"":""[\""20210419\"",\""900055\""]""}"
36,2,2021-04,2021-04-19,900055,Synthetic demo multi-vendor settlement 900055,2100,Demo Accrued Payables,194270,00,00,0,V009,Demo Vendor Summit,D01,Demo Sales,,,0,,,0,,,,,61,"[""20210419"",""900055""]",61-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""61-D"",""d_cor_entryHeader"":""[\""20210419\"",\""900055\""]""}"
36,3,2021-04,2021-04-19,900055,Synthetic demo multi-vendor settlement 900055,,,0,,,0,,,,,1110,Demo North Current Deposit,219600,00,00,0,B002,North Demo Bank,D01,Demo Sales,62,"[""20210419"",""900055""]",,62-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""62-C"",""d_cor_entryHeader"":""[\""20210419\"",\""900055\""]""}"
36,4,2021-04,2021-04-19,900055,Synthetic demo multi-vendor settlement 900055,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,61950,00,00,0,B003,Harbor Demo Bank,D01,Demo Sales,63,"[""20210419"",""900055""]",,63-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""63-C"",""d_cor_entryHeader"":""[\""20210419\"",\""900055\""]""}"
37,1,2021-04,2021-04-20,900005,Synthetic demo financing settlement 900005,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,398610,00,00,0,B003,Harbor Demo Bank,D06,Demo Management,64,"[""20210420"",""900005""]",,64-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""64-C"",""d_cor_entryHeader"":""[\""20210420\"",\""900005\""]""}"
37,2,2021-04,2021-04-20,900005,Synthetic demo financing settlement 900005,2200,Demo Short-term Loans,127550,00,00,0,,,D06,Demo Management,,,0,,,0,,,,,64,"[""20210420"",""900005""]",64-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""64-D"",""d_cor_entryHeader"":""[\""20210420\"",\""900005\""]""}"
37,3,2021-04,2021-04-20,900005,Synthetic demo financing settlement 900005,6070,Demo Bank Fees,187340,00,00,0,B003,Harbor Demo Bank,D06,Demo Management,,,0,,,0,,,,,65,"[""20210420"",""900005""]",65-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""65-D"",""d_cor_entryHeader"":""[\""20210420\"",\""900005\""]""}"
37,4,2021-04,2021-04-20,900005,Synthetic demo financing settlement 900005,7000,Demo Taxes and Dues,83720,P0,P0,0,,,D06,Demo Management,,,0,,,0,,,,,66,"[""20210420"",""900005""]",66-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""66-D"",""d_cor_entryHeader"":""[\""20210420\"",\""900005\""]""}"
38,1,2021-04,2021-04-20,900015,Synthetic demo multi-vendor settlement 900015,2000,Demo Accounts Payable,479460,00,00,0,V001,Demo Vendor Keystone,D01,Demo Sales,,,0,,,0,,,,,67,"[""20210420"",""900015""]",67-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""67-D"",""d_cor_entryHeader"":""[\""20210420\"",\""900015\""]""}"
38,2,2021-04,2021-04-20,900015,Synthetic demo multi-vendor settlement 900015,2100,Demo Accrued Payables,135240,00,00,0,V009,Demo Vendor Summit,D01,Demo Sales,,,0,,,0,,,,,68,"[""20210420"",""900015""]",68-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""68-D"",""d_cor_entryHeader"":""[\""20210420\"",\""900015\""]""}"
38,3,2021-04,2021-04-20,900015,Synthetic demo multi-vendor settlement 900015,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,116790,00,00,0,B001,Demo Central Bank,D01,Demo Sales,69,"[""20210420"",""900015""]",,69-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""69-C"",""d_cor_entryHeader"":""[\""20210420\"",\""900015\""]""}"
38,4,2021-04,2021-04-20,900015,Synthetic demo multi-vendor settlement 900015,,,0,,,0,,,,,1110,Demo North Current Deposit,497910,00,00,0,B002,North Demo Bank,D01,Demo Sales,70,"[""20210420"",""900015""]",,70-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""70-C"",""d_cor_entryHeader"":""[\""20210420\"",\""900015\""]""}"
39,1,2021-04,2021-04-20,900029,Synthetic demo prepaid service 900029,,,0,,,0,,,,,1120,Demo Harbor Ordinary Deposit,183370,00,00,0,B003,Harbor Demo Bank,D05,Demo Digital Services,71,"[""20210420"",""900029""]",,71-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""71-C"",""d_cor_entryHeader"":""[\""20210420\"",\""900029\""]""}"
39,2,2021-04,2021-04-20,900029,Synthetic demo prepaid service 900029,1400,Demo Prepaid Expenses,183370,00,00,0,S001,Demo Property Services,D05,Demo Digital Services,,,0,,,0,,,,,71,"[""20210420"",""900029""]",71-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""71-D"",""d_cor_entryHeader"":""[\""20210420\"",\""900029\""]""}"
40,1,2021-04,2021-04-20,900039,Synthetic demo prepaid service 900039,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,83970,00,00,0,B001,Demo Central Bank,D05,Demo Digital Services,72,"[""20210420"",""900039""]",,72-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""72-C"",""d_cor_entryHeader"":""[\""20210420\"",\""900039\""]""}"
40,2,2021-04,2021-04-20,900039,Synthetic demo prepaid service 900039,1400,Demo Prepaid Expenses,83970,00,00,0,S005,Demo Professional Services,D05,Demo Digital Services,,,0,,,0,,,,,72,"[""20210420"",""900039""]",72-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""72-D"",""d_cor_entryHeader"":""[\""20210420\"",\""900039\""]""}"
41,1,2021-04,2021-04-22,900016,Synthetic demo purchase on account 900016,,,0,,,0,,,,,2000,Demo Accounts Payable,241670,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,73,"[""20210422"",""900016""]",,73-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""73-C"",""d_cor_entryHeader"":""[\""20210422\"",\""900016\""]""}"
41,2,2021-04,2021-04-22,900016,Synthetic demo purchase on account 900016,5010,Demo Freight-in,241670,Q5,Q5,21970,V001,Demo Vendor Keystone,D04,Demo Logistics,,,0,,,0,,,,,73,"[""20210422"",""900016""]",73-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""73-D"",""d_cor_entryHeader"":""[\""20210422\"",\""900016\""]""}"
42,1,2021-04,2021-04-22,900021,Synthetic demo multi-vendor settlement 900021,2000,Demo Accounts Payable,189620,00,00,0,V001,Demo Vendor Keystone,D01,Demo Sales,,,0,,,0,,,,,74,"[""20210422"",""900021""]",74-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""74-D"",""d_cor_entryHeader"":""[\""20210422\"",\""900021\""]""}"
42,2,2021-04,2021-04-22,900021,Synthetic demo multi-vendor settlement 900021,2100,Demo Accrued Payables,93400,00,00,0,V005,Demo Vendor Orchid,D01,Demo Sales,,,0,,,0,,,,,75,"[""20210422"",""900021""]",75-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""75-D"",""d_cor_entryHeader"":""[\""20210422\"",\""900021\""]""}"
42,3,2021-04,2021-04-22,900021,Synthetic demo multi-vendor settlement 900021,,,0,,,0,,,,,1100,Demo Central Ordinary Deposit,90560,00,00,0,B001,Demo Central Bank,D01,Demo Sales,76,"[""20210422"",""900021""]",,76-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""76-C"",""d_cor_entryHeader"":""[\""20210422\"",\""900021\""]""}"
42,4,2021-04,2021-04-22,900021,Synthetic demo multi-vendor settlement 900021,,,0,,,0,,,,,1110,Demo North Current Deposit,192460,00,00,0,B002,North Demo Bank,D01,Demo Sales,77,"[""20210422"",""900021""]",,77-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""77-C"",""d_cor_entryHeader"":""[\""20210422\"",\""900021\""]""}"
43,1,2021-04,2021-04-22,900025,Synthetic demo purchase on account 900025,,,0,,,0,,,,,2000,Demo Accounts Payable,187410,00,00,0,V001,Demo Vendor Keystone,D04,Demo Logistics,78,"[""20210422"",""900025""]",,78-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""78-C"",""d_cor_entryHeader"":""[\""20210422\"",\""900025\""]""}"
43,2,2021-04,2021-04-22,900025,Synthetic demo purchase on account 900025,5010,Demo Freight-in,187410,Q5,Q5,17037,V006,Demo Vendor Prairie,D04,Demo Logistics,,,0,,,0,,,,,78,"[""20210422"",""900025""]",78-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""78-D"",""d_cor_entryHeader"":""[\""20210422\"",\""900025\""]""}"
44,1,2021-04,2021-04-22,900040,Synthetic demo mixed sales and receipt 900040,1110,Demo North Current Deposit,43800,00,00,0,B002,North Demo Bank,D01,Demo Sales,,,0,,,0,,,,,79,"[""20210422"",""900040""]",79-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""79-D"",""d_cor_entryHeader"":""[\""20210422\"",\""900040\""]""}"
44,2,2021-04,2021-04-22,900040,Synthetic demo mixed sales and receipt 900040,1200,Demo Accounts Receivable,164790,00,00,0,C001,Demo Customer Aurora,D01,Demo Sales,,,0,,,0,,,,,80,"[""20210422"",""900040""]",80-D,,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""80-D"",""d_cor_entryHeader"":""[\""20210422\"",\""900040\""]""}"
44,3,2021-04,2021-04-22,900040,Synthetic demo mixed sales and receipt 900040,,,0,,,0,,,,,4000,Demo Product Sales,60490,B5,B5,5499,C002,Demo Customer Birch,D01,Demo Sales,81,"[""20210422"",""900040""]",,81-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""81-C"",""d_cor_entryHeader"":""[\""20210422\"",\""900040\""]""}"
44,4,2021-04,2021-04-22,900040,Synthetic demo mixed sales and receipt 900040,,,0,,,0,,,,,4010,Demo Service Revenue,148100,B5,B5,13464,C003,Demo Customer Cobalt,D01,Demo Sales,82,"[""20210422"",""900040""]",,82-C,cor:monetaryAmount,"{""d_cor_accountingEntries"":""1"",""d_cor_entryDetail"":""82-C"",""d_cor_entryHeader"":""[\""20210422\"",\""900040\""]""}"
